timestamp,event_type,details
2025-06-04T15:35:05.395763600+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053957494 }, name: None, event_type: MouseMove { x: 687.0, y: 270.0 } }"
2025-06-04T15:35:05.399996200+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051053999820 }, name: None, event_type: MouseMove { x: 694.0, y: 276.0 } }"
2025-06-04T15:35:05.403773300+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054037582 }, name: None, event_type: MouseMove { x: 701.0, y: 282.0 } }"
2025-06-04T15:35:05.407777300+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054077625 }, name: None, event_type: MouseMove { x: 709.0, y: 287.0 } }"
2025-06-04T15:35:05.411775900+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054117617 }, name: None, event_type: MouseMove { x: 716.0, y: 293.0 } }"
2025-06-04T15:35:05.416474900+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054164583 }, name: None, event_type: MouseMove { x: 724.0, y: 300.0 } }"
2025-06-04T15:35:05.419773200+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054197581 }, name: None, event_type: MouseMove { x: 730.0, y: 307.0 } }"
2025-06-04T15:35:05.425842300+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054258277 }, name: None, event_type: MouseMove { x: 737.0, y: 316.0 } }"
2025-06-04T15:35:05.427781400+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054277673 }, name: None, event_type: MouseMove { x: 742.0, y: 323.0 } }"
2025-06-04T15:35:05.431777+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054317620 }, name: None, event_type: MouseMove { x: 747.0, y: 330.0 } }"
2025-06-04T15:35:05.435771300+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054357582 }, name: None, event_type: MouseMove { x: 752.0, y: 339.0 } }"
2025-06-04T15:35:05.439785500+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054397707 }, name: None, event_type: MouseMove { x: 759.0, y: 347.0 } }"
2025-06-04T15:35:05.443785+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054437702 }, name: None, event_type: MouseMove { x: 764.0, y: 354.0 } }"
2025-06-04T15:35:05.447766600+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054477517 }, name: None, event_type: MouseMove { x: 768.0, y: 360.0 } }"
2025-06-04T15:35:05.451772300+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054517610 }, name: None, event_type: MouseMove { x: 772.0, y: 367.0 } }"
2025-06-04T15:35:05.455820200+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054558053 }, name: None, event_type: MouseMove { x: 776.0, y: 374.0 } }"
2025-06-04T15:35:05.457792100+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054577782 }, name: None, event_type: MouseMove { x: 780.0, y: 380.0 } }"
2025-06-04T15:35:05.461786500+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054617713 }, name: None, event_type: MouseMove { x: 784.0, y: 386.0 } }"
2025-06-04T15:35:05.466020900+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054660065 }, name: None, event_type: MouseMove { x: 787.0, y: 392.0 } }"
2025-06-04T15:35:05.469773+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054697585 }, name: None, event_type: MouseMove { x: 791.0, y: 400.0 } }"
2025-06-04T15:35:05.473777600+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054737630 }, name: None, event_type: MouseMove { x: 796.0, y: 407.0 } }"
2025-06-04T15:35:05.477770100+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054777555 }, name: None, event_type: MouseMove { x: 800.0, y: 414.0 } }"
2025-06-04T15:35:05.481885400+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054818702 }, name: None, event_type: MouseMove { x: 803.0, y: 422.0 } }"
2025-06-04T15:35:05.485876800+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054858617 }, name: None, event_type: MouseMove { x: 805.0, y: 431.0 } }"
2025-06-04T15:35:05.489777+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054897627 }, name: None, event_type: MouseMove { x: 807.0, y: 438.0 } }"
2025-06-04T15:35:05.493795700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054937713 }, name: None, event_type: MouseMove { x: 809.0, y: 446.0 } }"
2025-06-04T15:35:05.497781600+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051054977654 }, name: None, event_type: MouseMove { x: 811.0, y: 456.0 } }"
2025-06-04T15:35:05.501822600+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055018076 }, name: None, event_type: MouseMove { x: 813.0, y: 464.0 } }"
2025-06-04T15:35:05.505796700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055057826 }, name: None, event_type: MouseMove { x: 815.0, y: 473.0 } }"
2025-06-04T15:35:05.509779200+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055097657 }, name: None, event_type: MouseMove { x: 817.0, y: 483.0 } }"
2025-06-04T15:35:05.513769700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055137536 }, name: None, event_type: MouseMove { x: 820.0, y: 491.0 } }"
2025-06-04T15:35:05.517796100+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055177828 }, name: None, event_type: MouseMove { x: 822.0, y: 500.0 } }"
2025-06-04T15:35:05.521773300+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055217583 }, name: None, event_type: MouseMove { x: 825.0, y: 508.0 } }"
2025-06-04T15:35:05.529923+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055299080 }, name: None, event_type: MouseMove { x: 826.0, y: 516.0 } }"
2025-06-04T15:35:05.530137+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055301286 }, name: None, event_type: MouseMove { x: 828.0, y: 523.0 } }"
2025-06-04T15:35:05.531776500+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055317617 }, name: None, event_type: MouseMove { x: 830.0, y: 530.0 } }"
2025-06-04T15:35:05.535774700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055357602 }, name: None, event_type: MouseMove { x: 833.0, y: 537.0 } }"
2025-06-04T15:35:05.539795500+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055397806 }, name: None, event_type: MouseMove { x: 834.0, y: 542.0 } }"
2025-06-04T15:35:05.543767800+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055437528 }, name: None, event_type: MouseMove { x: 836.0, y: 546.0 } }"
2025-06-04T15:35:05.547761400+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055477469 }, name: None, event_type: MouseMove { x: 837.0, y: 551.0 } }"
2025-06-04T15:35:05.551823+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055518109 }, name: None, event_type: MouseMove { x: 839.0, y: 555.0 } }"
2025-06-04T15:35:05.555777100+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055557622 }, name: None, event_type: MouseMove { x: 841.0, y: 558.0 } }"
2025-06-04T15:35:05.559801400+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055597872 }, name: None, event_type: MouseMove { x: 843.0, y: 561.0 } }"
2025-06-04T15:35:05.563779700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055637651 }, name: None, event_type: MouseMove { x: 845.0, y: 564.0 } }"
